test_id,beta,j,r,tau_c,n_tau,phi_over_pi,phi,k2_real,k2_imag,k4_real,k4_imag,p0_analytic,p1_analytic,p2_analytic,p0_mc,p1_mc,p2_mc,p0_mc_std,p1_mc_std,p2_mc_std,trace_distance,trace_distance_std,max_abs_error,max_abs_error_std,imag_leakage,imag_leakage_std,phase_replicas,mc_M_per_rep,mc_M_total
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.6499999999999999,-2.042035224833365,-0.20429572488279585,0.40095293588476566,-0.20429572488279585,-0.40095293588476566,0.034557142003748285,0.7727629003173411,0.19267995767891077,0.034540945933273684,0.7728597806508375,0.19259927341588892,0.0006451274367432078,0.004133747517459076,0.0034888746280586575,0.0036102597943028203,0.0016174368271875004,0.003610259794302817,0.001617436827187492,0.009798880155927139,0.007479984248679451,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.625,-1.9634954084936207,-0.17220754456429038,0.415745789630079,-0.17220754456429038,-0.415745789630079,0.037351668017524875,0.7782851969409716,0.18436313504150342,0.03727178175629432,0.7787247515280138,0.18400346671569195,0.0008068049716662323,0.00455957271414151,0.003757440452298685,0.003803476314427119,0.0022209404975016677,0.003803476314427115,0.0022209404975016794,0.013375390187941543,0.009297850159374538,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.6,-1.8849555921538759,-0.13905764746872631,0.42797543233281915,-0.13905764746872631,-0.42797543233281915,0.04057946045286486,0.7818869571478471,0.17753358239928813,0.04067053410843381,0.7814604024864344,0.17786906340513173,0.000510900582190562,0.002665552694072805,0.002187149703701253,0.0021154591134306456,0.0015427849348782713,0.0021154591134306343,0.001542784934878278,0.011468721824238201,0.006931810487137368,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.575,-1.8064157758141308,-0.1050504137351573,0.4375664641789545,-0.1050504137351573,-0.4375664641789545,0.04429435778968319,0.783597812236453,0.17210782997386373,0.04457981970467041,0.7817961071364087,0.17362407315892103,0.000605307818565728,0.0026693193996238694,0.0021134359418207337,0.0026729793765823,0.0016752336974519908,0.00267297937658227,0.0016752336974519828,0.013431153443280682,0.01080211342543867,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.55,-1.7278759594743864,-0.07039550926810396,0.44445975326781195,-0.07039550926810396,-0.44445975326781195,0.048553872956926473,0.7834344274652175,0.16801169957785592,0.04860361735002152,0.7836747756551042,0.16772160699487423,0.0012813479987103058,0.004847928949222833,0.003583425645766119,0.004014600977772007,0.0023788231984873055,0.004014600977772032,0.002378823198487298,0.013393606244873965,0.007512276487974967,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.5249999999999999,-1.6493361431346412,-0.0353065930775301,0.44861280017990757,-0.0353065930775301,-0.44861280017990757,0.05341798250996778,0.7814001561629398,0.1651818613270923,0.05355616257001311,0.7809829025088407,0.1654609349211462,0.0008611688266371695,0.0034113269705521123,0.002589174850232631,0.00279990875115492,0.0017752564011115466,0.002799908751154906,0.0017752564011115626,0.012200092629357156,0.008496561797629283,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.5,-1.5707963267948966,2.7554552980815448e-17,0.45,2.7554552980815448e-17,-0.45,0.05894725087056701,0.7774861686416131,0.16356658048782,0.058573081330556234,0.7784532958528848,0.16297362281655897,0.0010279439698228853,0.003949340116757613,0.0030621047695504116,0.0033742591069391105,0.00209890262885913,0.003374259106939073,0.002098902628859127,0.013721462799148907,0.00681256409728501,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.475,-1.4922565104551517,0.03530659307753025,0.44861280017990757,0.03530659307753025,-0.44861280017990757,0.06520015311941847,0.7716740153911392,0.16312583148944237,0.06564962848461872,0.769513511192556,0.16483686032282535,0.0013354810719008487,0.0035774400768243926,0.002334723361689429,0.0035981932736520233,0.0019266759804037234,0.0035981932736520615,0.0019266759804037368,0.00873075833528116,0.0037633535147127074,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.44999999999999996,-1.4137166941154067,0.07039550926810402,0.44445975326781195,0.07039550926810402,-0.44445975326781195,0.07222948659817621,0.7639395866216641,0.16383092678015979,0.0716310872078971,0.7658206346552542,0.16254827813684863,0.0013389987959331379,0.004469761044935216,0.0031908038755678494,0.004147631093461838,0.0021899734742585448,0.004147631093461834,0.002189973474258483,0.01333753298833909,0.008784249634636436,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.42499999999999993,-1.3351768777756619,0.10505041373515756,0.43756646417895445,0.10505041373515756,-0.43756646417895445,0.08007781965637056,0.7542583993518192,0.16566378099181037,0.0803451248038676,0.7534010226501476,0.16625385254598485,0.0017512781658745754,0.003965801870660057,0.0024818104464731806,0.003067973934852535,0.002554751936477896,0.0030679739348525303,0.0025547519364779014,0.01404306969768819,0.0058318292203799514,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.12,18,-0.3999999999999999,-1.256637061435917,0.13905764746872645,0.4279754323328191,0.13905764746872645,-0.4279754323328191,0.0887720227355819,0.7426120674335014,0.16861590983091676,0.08840941772371129,0.7427213076863458,0.16886927458994289,0.0015158499127309014,0.0028680034592082865,0.0015827227907202022,0.002371847739525207,0.0015438534980446858,0.002371847739525222,0.0015438534980447031,0.01485204770456354,0.00624476618175453,10,18000,180000
